,hour,month,day_of_week,day,distance,surge_multiplier,apparentTemperature,precipIntensity,precipProbability,humidity,windSpeed,visibility,pressure,windBearing,cloudCover,uvIndex,precipIntensityMax,source_Back Bay,source_Beacon Hill,source_Boston University,source_Fenway,source_Financial District,source_Haymarket Square,source_North End,source_North Station,source_Northeastern University,source_South Station,source_Theatre District,source_West End,destination_Back Bay,destination_Beacon Hill,destination_Boston University,destination_Fenway,destination_Financial District,destination_Haymarket Square,destination_North End,destination_North Station,destination_Northeastern University,destination_South Station,destination_Theatre District,destination_West End,name_Black,name_Black SUV,name_Lux,name_Lux Black,name_Lux Black XL,name_Lyft,name_Lyft XL,name_Shared,name_UberPool,name_UberX,name_UberXL,name_WAV,short_summary_ Clear ,short_summary_ Drizzle ,short_summary_ Foggy ,short_summary_ Light Rain ,short_summary_ Mostly Cloudy ,short_summary_ Overcast ,short_summary_ Partly Cloudy ,short_summary_ Possible Drizzle ,short_summary_ Rain ,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,day_sin,day_cos,month_sin,month_cos
count,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0,127622.0
mean,0.5023891887251277,0.5792496591496764,0.46130238778058114,0.582893771963433,0.29204686977929545,0.007877756186237483,0.5254377358613982,0.06159319055083161,0.1453744652175957,0.6214805143854237,0.3956128549941917,0.8359175137194556,0.4608374236329756,0.6171443617880381,0.6862182068922287,0.12234567707761984,0.2549106877254431,0.08462490793123442,0.08236824371973485,0.08301860180846563,0.08128692545172463,0.08623904969362649,0.0830029305292191,0.08080895143470561,0.08282271081788406,0.08289323157449342,0.0823995862782279,0.08510288194825344,0.08543197881243046,0.08109103446114306,0.08219585964802306,0.08599614486530535,0.08681888702574792,0.08536929369544435,0.0837943301311686,0.08438200310291329,0.08163169359514817,0.08597263794643557,0.07962576985159299,0.08419394775195499,0.07892839792512263,0.08629389917098933,0.08613718637852408,0.0803544843365564,0.08037015561580292,0.08055037532713795,0.08037799125542618,0.08034664869693313,0.08062089608374731,0.0863409130087289,0.08613718637852408,0.08623904969362649,0.08623121405400323,0.12572283775524595,0.010476250176301891,0.012568365955712965,0.0778470796571124,0.2130353700772594,0.3152356176834715,0.1829935277616712,0.027393396122925514,0.03472755481029916,-0.0191682017047893,0.003711389564642753,0.029090259789799504,0.07226274982749596,-0.1338914952029661,0.1803804076804135,-0.2103751704251622,0.9436301429770176
std,0.30365255340693614,0.49368147751128827,0.3412895235917142,0.3448006176351053,0.15311069561241308,0.04848931792499385,0.17518774000220733,0.18617680879549314,0.32815570465159194,0.23902166721534365,0.2162145908899168,0.27925475747896555,0.2840565075361157,0.2796128914933172,0.35872944909848153,0.23531363342876757,0.37825927003475446,0.278323803994463,0.2749260053135443,0.2759114170650303,0.2732763187096115,0.28071781822589553,0.27588773161373453,0.27254255966675334,0.27561513858073006,0.27572185154400247,0.27497361130830716,0.2790358248021665,0.27952453924161785,0.27297593753041555,0.27466396091894235,0.28035945467567475,0.2815705757114077,0.27943154655785357,0.27708020849216386,0.27796094339795874,0.27380384880870146,0.28032473884921383,0.2707140204541561,0.27767954747907686,0.26962803187246753,0.28079864664992404,0.2805676180685698,0.27184227085459867,0.2718664614198967,0.2721444335083506,0.27187855555666507,0.271830174425865,0.2722530954639569,0.28086790111707405,0.28056761806856984,0.2807178182258956,0.280706268533333,0.33153803265338133,0.10181640136700572,0.11140242087637461,0.26793184645866575,0.4094540448435896,0.4646114661286885,0.3866627316542825,0.16322746931305532,0.18308963491157573,0.6955530830126817,0.7182148334979954,0.6822379818960616,0.7269738482118496,0.4614581555428077,0.8582539175561092,0.24684073875564427,0.06614077660867673
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.9749279121818236,-0.9009688679024191,-0.848644257494751,-0.9948693233918952,-0.5000000000000004,0.8660254037844384
25%,0.21739130434782608,0.0,0.16666666666666666,0.41379310344827586,0.17112299465240638,0.0,0.43867819915724116,0.0,0.0,0.44827586206896564,0.20343642611683846,0.8310890875794464,0.24673409186683415,0.3446327683615819,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865475,-0.7071067811865477,-0.7818314824680299,-0.900968867902419,-0.5712682150947924,-0.9541392564000488,-0.5000000000000004,0.8660254037844384
50%,0.5217391304347826,1.0,0.5,0.5517241379310345,0.28743315508021383,0.0,0.5271678864493236,0.0,0.0,0.5689655172413793,0.3759450171821305,0.9870731444576109,0.43994943109987616,0.7259887005649718,0.82,0.0,0.0027416038382453737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210297e-16,0.0,-0.22252093395631434,-0.20129852008866028,0.6889669190756865,-2.4492935982947064e-16,1.0
75%,0.7826086956521738,1.0,0.8333333333333333,0.9310344827586207,0.3930481283422459,0.0,0.6178753603903305,0.0,0.0,0.8620689655172414,0.5470790378006872,0.9995691048152537,0.709018120522547,0.8502824858757063,1.0,0.0,0.6278272789581906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.29936312297335804,0.9189578116202306,-2.4492935982947064e-16,1.0
max,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9749279121818236,1.0,0.9680771188662043,0.9795299412524945,-2.4492935982947064e-16,1.0
