,hour,month,distance,surge_multiplier,latitude,longitude,apparentTemperature,precipIntensity,precipProbability,humidity,windSpeed,visibility,pressure,windBearing,cloudCover,uvIndex,precipIntensityMax,day_of_week,source_Back Bay,source_Beacon Hill,source_Boston University,source_Fenway,source_Haymarket Square,source_North End,source_North Station,destination_Beacon Hill,destination_Fenway,destination_Haymarket Square,destination_North Station,destination_Northeastern University,destination_South Station,destination_Theatre District,destination_West End,name_Black,name_Black SUV,name_Lux,name_Lux Black,name_Lux Black XL,name_Lyft,name_Lyft XL,name_Shared,name_UberPool,name_UberX,name_UberXL,name_WAV,short_summary_ Clear ,short_summary_ Foggy ,short_summary_ Light Rain ,short_summary_ Mostly Cloudy ,short_summary_ Overcast ,short_summary_ Partly Cloudy ,short_summary_ Possible Drizzle ,short_summary_ Rain 
count,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0
mean,0.4903943377148634,0.5465116279069767,0.4736302719747733,0.0,0.679068230375496,0.6124245149685429,0.5326710919246779,0.09366775874107094,0.2105813953488372,0.5745702730030334,0.39537294482570196,0.7582505456461203,0.45871932109065267,0.5913808960714755,0.6975581395348838,0.0872093023255814,0.30074069282271887,0.4728682170542635,0.06976744186046512,0.06976744186046512,0.13953488372093023,0.03488372093023256,0.2558139534883721,0.16279069767441862,0.26744186046511625,0.09302325581395349,0.06976744186046512,0.06976744186046512,0.20930232558139536,0.12790697674418605,0.13953488372093023,0.06976744186046512,0.22093023255813954,0.06976744186046512,0.06976744186046512,0.09302325581395349,0.09302325581395349,0.06976744186046512,0.10465116279069768,0.10465116279069768,0.09302325581395349,0.06976744186046512,0.08139534883720931,0.06976744186046512,0.08139534883720931,0.13953488372093023,0.011627906976744186,0.10465116279069768,0.16279069767441862,0.26744186046511625,0.18604651162790697,0.06976744186046512,0.05813953488372093
std,0.3061075297368939,0.5007518287344023,0.35167223361627514,0.0,0.4392211637248587,0.32999868783316555,0.1900952853116198,0.2418555302442494,0.3790835842991476,0.3058883317428686,0.23792791389451295,0.3395406486473612,0.2833089963201579,0.2855969488066701,0.3691928749758973,0.2195163194404553,0.3998691446521217,0.3541172077265175,0.2562488530553892,0.25624885305538925,0.34853612177301596,0.1845614463981577,0.438876815401688,0.3713398670404582,0.4452208600538459,0.292168644963595,0.25624885305538925,0.2562488530553892,0.4091966036822841,0.33594508052243144,0.34853612177301596,0.25624885305538925,0.4173068497400268,0.25624885305538925,0.2562488530553892,0.292168644963595,0.292168644963595,0.2562488530553892,0.30789875216841545,0.30789875216841545,0.292168644963595,0.25624885305538925,0.27504507776297615,0.25624885305538925,0.27504507776297615,0.3485361217730159,0.10783277320343843,0.30789875216841545,0.3713398670404582,0.4452208600538459,0.3914265886239791,0.25624885305538925,0.23537960143467365
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.2608695652173913,0.0,0.2194915254237288,0.0,0.0,0.47928176795585387,0.4508760257263251,0.0,0.0,0.32608695652173925,0.19851416724257084,0.39736477115117885,0.255748350010645,0.3403954802259887,0.375,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.4565217391304348,1.0,0.2677966101694915,0.0,0.8968935888962051,0.5842541436463762,0.5361499223774673,0.0,0.0,0.5,0.34346924671734624,0.9804669440591771,0.3996167766659582,0.672316384180791,0.9,0.0,0.019471488178025034,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.7826086956521738,1.0,0.847457627118644,0.0,0.9907468605419467,1.0,0.6573519627411845,0.015396458814472673,0.2425,0.8913043478260871,0.5442294402211472,0.9995376791493297,0.7066744730679186,0.8326271186440678,1.0,0.0,0.7383518776077885,0.7916666666666666,0.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
max,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
