,timestamp,hour,day,month,price,distance,surge_multiplier,latitude,longitude,temperature,apparentTemperature,precipIntensity,precipProbability,humidity,windSpeed,windGust,windGustTime,visibility,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,pressure,windBearing,cloudCover,uvIndex,visibility.1,ozone,sunriseTime,sunsetTime,moonPhase,precipIntensityMax,uvIndexTime,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
count,138614.0,138614.0,138614.0,138614.0,127622.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0,138614.0
mean,1544035589.4131112,11.559517797625059,17.90704402152741,11.57910456375258,16.604838507467367,2.2044154270131444,1.0145061104938895,42.338111746288256,-71.06616011586132,39.5597065952934,35.83687867026419,0.008928808778334081,0.14541388315754544,0.7405102659183054,6.2054357424214,8.48685955242616,1544038588.7139828,8.476826987173013,45.009383828473325,1544039543.5785706,34.1669290980709,1544091760.7196965,41.55989892795822,1544039863.182651,30.144494928362217,1544088276.3703523,31.611995902289806,1009.9528127750443,220.4045406668879,0.6866083512487915,0.2447876837837448,8.476826987173013,313.80256323315103,1544016708.5025394,1544050056.3581312,0.5807631263797306,0.037206474814953754,1544033561.9749808,33.45890588252269,1544031051.3974059,45.22394981747875,1544037025.235546,29.731967694460874,1544037534.197123,41.93334187022956,1544037682.571746
std,687652.7019406998,6.986328622284136,9.99764975022702,0.4937045942993102,9.3667368333402,1.148932377848332,0.09315135843079755,0.047873454570260786,0.02033744062220682,6.71915831251942,7.89862902295569,0.026963565319630615,0.3282987067792949,0.13859468605470224,3.1442776121898364,5.273648615271525,691140.87527188,2.593393875064698,5.972064959112677,692255.4214401919,6.371607656343468,690857.7345304149,7.635267489820888,692655.9001884897,8.010799711441908,691349.6236723611,9.141654362829097,13.479916260315164,98.97889675874885,0.3586268365337149,0.4705790722185205,2.593393875064698,27.954481723154906,689672.8356775185,689197.1792791127,0.24385526995899057,0.05518149711655263,689737.7277709162,6.468250670572634,688860.819665688,5.629188054899515,688645.256449882,7.09897123895883,685766.4267736579,6.924481435402864,689591.3549509408
min,1543203646.0,0.0,1.0,11.0,2.5,0.02,1.0,42.2148,-71.1054,18.91,12.13,0.0,0.0,0.38,0.45,0.8,1543150800.0,0.717,32.68,1543154400.0,17.85,1543233600.0,22.62,1543186800.0,11.81,1543233600.0,4.39,988.09,2.0,0.0,0.0,0.717,269.4,1543146535.0,1543180615.0,0.09,0.0,1543161600.0,15.63,1543122000.0,33.51,1543154400.0,11.81,1543136400.0,28.95,1543186800.0
25%,1543442320.0,5.0,13.0,11.0,9.0,1.3,1.0,42.3503,-71.081,36.5,31.91,0.0,0.0,0.64,3.44,4.06,1543431600.0,8.432,42.57,1543438800.0,30.17,1543489200.0,36.57,1543438800.0,27.7,1543478400.0,27.49,999.8,124.0,0.37,0.0,8.432,291.1,1543405938.0,1543439721.0,0.3,0.0,1543420800.0,30.17,1543399200.0,42.57,1543438800.0,27.76,1543399200.0,36.57,1543438800.0
50%,1543727577.0,12.0,17.0,12.0,13.5,2.17,1.0,42.3519,-71.0631,40.49,35.9,0.0,0.0,0.71,5.92,7.56,1543755600.0,9.88,44.66,1543784400.0,34.19,1543816800.0,40.95,1543784400.0,30.03,1543816800.0,30.32,1008.97,259.0,0.82,0.0,9.88,307.6,1543751761.0,1543785233.0,0.68,0.0004,1543770000.0,34.22,1543726800.0,44.66,1543784400.0,30.13,1543744800.0,40.95,1543784400.0
75%,1544819116.372,18.0,28.0,12.0,22.5,2.95,1.0,42.3647,-71.0542,43.58,40.01,0.0,0.0,0.88,8.41,11.82,1544846400.0,9.996,46.91,1544814000.0,38.49,1544835600.0,44.09,1544817600.0,35.32,1544835600.0,38.12,1021.74,303.0,1.0,0.0,9.996,333.5,1544789239.0,1544822015.0,0.79,0.0916,1544806800.0,38.88,1544788800.0,46.91,1544814000.0,35.33,1544788800.0,44.09,1544817600.0
max,1545160511.0,23.0,30.0,12.0,92.0,7.5,3.0,42.3661,-71.033,57.22,57.22,0.1447,1.0,0.96,15.0,27.25,1545127200.0,10.0,57.87,1545159600.0,46.6,1545220800.0,57.2,1545159600.0,47.25,1545199200.0,50.67,1035.55,356.0,1.0,2.0,10.0,378.9,1545135001.0,1545167693.0,0.93,0.1459,1545152400.0,43.1,1545192000.0,57.87,1545109200.0,40.05,1545134400.0,57.2,1545109200.0
