,timestamp,hour,day,month,distance,surge_multiplier,latitude,longitude,temperature,apparentTemperature,precipIntensity,precipProbability,humidity,windSpeed,windGust,windGustTime,visibility,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,pressure,windBearing,cloudCover,uvIndex,visibility.1,ozone,sunriseTime,sunsetTime,moonPhase,precipIntensityMax,uvIndexTime,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,price
count,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,86.0
mean,1544028381.3024735,11.666666666666666,18.419354838709676,11.559139784946236,1.8832258064516125,1.0,42.320906451612906,-71.06146344086024,39.63913978494624,36.01247311827957,0.011618279569892474,0.20548387096774193,0.7615053763440861,6.130430107526882,7.964838709677419,1544033148.387097,7.947709677419354,45.01387096774194,1544032954.8387096,34.307634408602155,1544086180.6451614,41.641290322580645,1544033574.1935484,30.410107526881724,1544083083.8709676,32.41924731182796,1010.2036559139785,214.8709677419355,0.684731182795699,0.1827956989247312,7.947709677419354,311.0193548387097,1544010192.2903225,1544043551.387097,0.5803225806451612,0.04193010752688172,1544027109.6774194,33.663440860215054,1544024438.7096775,45.183655913978484,1544029587.096774,29.96741935483871,1544032993.548387,41.93838709677419,1544031832.2580645,14.122093023255815
std,689332.7267458339,7.042315166090675,9.96332686344969,0.4991811902331277,1.0395360182503692,0.0,0.06498297068973999,0.02347831925390673,7.470345672683307,8.753886299178408,0.030438608728977315,0.3773722534471887,0.14274442223595427,3.421035602797116,5.498051752350895,694023.4583826498,2.937388616133034,6.229795172893983,696606.3526461589,6.633349602715558,695252.9186746835,7.623848911803934,696936.8951695177,8.25397855248207,696493.0052537939,10.426248359888858,13.2997200677427,101.4661247611896,0.3731085382293908,0.4410027250024206,2.937388616133034,26.865580282716184,693694.1656872845,693211.068342088,0.2436071838596935,0.05658231937887188,693572.96253664,6.772265932306374,691659.4589687368,5.958714258919312,691409.7770726829,7.372454741811311,686615.1674837907,7.035490201134992,694176.7030339342,7.7569460510115515
min,1543208580.2,0.0,1.0,11.0,0.44,1.0,42.2148,-71.1054,18.91,12.13,0.0,0.0,0.5,0.53,0.88,1543287600.0,1.348,32.8,1543251600.0,20.72,1543298400.0,22.69,1543244400.0,11.99,1543291200.0,7.06,988.09,2.0,0.0,0.0,1.348,269.9,1543232969.0,1543266973.0,0.21,0.0,1543251600.0,18.11,1543233600.0,33.51,1543251600.0,11.82,1543291200.0,31.92,1543244400.0,3.0
25%,1543445408.141,6.0,13.0,11.0,1.11,1.0,42.2148,-71.0707,37.28,32.35,0.0,0.0,0.65,3.38,3.71,1543446000.0,4.786,42.32,1543438800.0,28.68,1543489200.0,36.58,1543438800.0,27.22,1543478400.0,27.27,1000.46,124.0,0.37,0.0,4.786,291.1,1543405938.0,1543439738.0,0.3,0.0,1543420800.0,30.17,1543402800.0,42.32,1543438800.0,27.76,1543399200.0,36.58,1543438800.0,9.0
50%,1543743182.105,12.0,17.0,12.0,1.23,1.0,42.3588,-71.0631,40.68,36.11,0.0,0.0,0.73,5.28,7.33,1543755600.0,9.831,44.66,1543788000.0,34.12,1543816800.0,40.53,1543788000.0,29.97,1543816800.0,31.63,1007.14,242.0,0.87,0.0,9.831,300.1,1543751761.0,1543785235.0,0.68,0.0007,1543770000.0,35.2,1543726800.0,44.66,1543788000.0,31.14,1543744800.0,40.53,1543788000.0,11.0
75%,1544816705.598,18.0,28.0,12.0,2.94,1.0,42.3647,-71.033,43.73,41.77,0.002,0.1,0.91,8.33,10.25,1544846400.0,10.0,47.3,1544814000.0,39.01,1544835600.0,44.06,1544817600.0,35.32,1544835600.0,41.83,1021.98,303.0,1.0,0.0,10.0,329.2,1544789238.0,1544822012.0,0.75,0.1055,1544806800.0,38.94,1544781600.0,47.3,1544814000.0,35.78,1544781600.0,44.06,1544817600.0,16.875
max,1545134405.195,23.0,30.0,12.0,3.39,1.0,42.3661,-71.033,57.22,57.22,0.1299,1.0,0.96,15.0,26.56,1545127200.0,10.0,57.87,1545159600.0,46.6,1545220800.0,57.2,1545159600.0,47.25,1545199200.0,50.67,1035.06,356.0,1.0,2.0,10.0,371.4,1545135001.0,1545167693.0,0.89,0.1438,1545152400.0,43.09,1545192000.0,57.87,1545109200.0,39.9,1545134400.0,57.2,1545109200.0,36.0
